"covariateId","columnId","covariateName","analysisId","conceptId","covariateValue","included"
1007,1,"index month: 1",7,0,0,0
2007,2,"index month: 2",7,0,0,0
3007,3,"index month: 3",7,0,0,0
4003,4,"age group:  20 -  24",3,0,0,0
4007,5,"index month: 4",7,0,0,0
5003,6,"age group:  25 -  29",3,0,0,0
5007,7,"index month: 5",7,0,0,0
6003,8,"age group:  30 -  34",3,0,0,0
6007,9,"index month: 6",7,0,0.000861870457216397,1
7003,10,"age group:  35 -  39",3,0,0,0
7007,11,"index month: 7",7,0,0,0
8003,12,"age group:  40 -  44",3,0,0,0
8007,13,"index month: 8",7,0,0,0
9003,14,"age group:  45 -  49",3,0,0,0
9007,15,"index month: 9",7,0,0,0
10003,16,"age group:  50 -  54",3,0,0,0
10007,17,"index month: 10",7,0,0.00197678096139782,1
11007,18,"index month: 11",7,0,0,0
12003,19,"age group:  60 -  64",3,0,0,0
13003,20,"age group:  65 -  69",3,0,0,0
14003,21,"age group:  70 -  74",3,0,0,0
15003,22,"age group:  75 -  79",3,0,0,0
16003,23,"age group:  80 -  84",3,0,0,0
17003,24,"age group:  85 -  89",3,0,0,0
18003,25,"age group:  90 -  94",3,0,0,0
8532001,26,"gender = FEMALE",1,8532,0,0
22340210,27,"condition_era group during day -365 through 0 days relative to index: Esophageal varices without bleeding",210,22340,0,0
22340212,28,"condition_era group during day -30 through 0 days relative to index: Esophageal varices without bleeding",212,22340,0,0
23220210,29,"condition_era group during day -365 through 0 days relative to index: Chronic tonsillitis",210,23220,0,0
23220212,30,"condition_era group during day -30 through 0 days relative to index: Chronic tonsillitis",212,23220,0,0
23245210,31,"condition_era group during day -365 through 0 days relative to index: Esophageal bleeding",210,23245,0,0
23245212,32,"condition_era group during day -30 through 0 days relative to index: Esophageal bleeding",212,23245,0,0
23798210,33,"condition_era group during day -365 through 0 days relative to index: Acute laryngopharyngitis",210,23798,0,0
23798212,34,"condition_era group during day -30 through 0 days relative to index: Acute laryngopharyngitis",212,23798,0,0
24134210,35,"condition_era group during day -365 through 0 days relative to index: Neck pain",210,24134,0,0
24134212,36,"condition_era group during day -30 through 0 days relative to index: Neck pain",212,24134,0,0
24609210,37,"condition_era group during day -365 through 0 days relative to index: Hypoglycemia",210,24609,0,0
24609212,38,"condition_era group during day -30 through 0 days relative to index: Hypoglycemia",212,24609,0,0
24660210,39,"condition_era group during day -365 through 0 days relative to index: Acute tonsillitis",210,24660,0,0
24966210,40,"condition_era group during day -365 through 0 days relative to index: Esophageal varices",210,24966,0,0
24966212,41,"condition_era group during day -30 through 0 days relative to index: Esophageal varices",212,24966,0,0
24969210,42,"condition_era group during day -365 through 0 days relative to index: Laryngitis",210,24969,0,0
24969212,43,"condition_era group during day -30 through 0 days relative to index: Laryngitis",212,24969,0,0
24970210,44,"condition_era group during day -365 through 0 days relative to index: Chronic laryngitis",210,24970,0,0
24970212,45,"condition_era group during day -30 through 0 days relative to index: Chronic laryngitis",212,24970,0,0
