"covariateId","columnId","covariateName","analysisId","conceptId","covariateValue","included"
1007,1,"index month: 1",7,0,0,0
2007,2,"index month: 2",7,0,0,0
3003,3,"age group:  15 -  19",3,0,0,0
3007,4,"index month: 3",7,0,0,0
4003,5,"age group:  20 -  24",3,0,0,0
4007,6,"index month: 4",7,0,0,0
5003,7,"age group:  25 -  29",3,0,0,0
5007,8,"index month: 5",7,0,0,0
6003,9,"age group:  30 -  34",3,0,0,0
6007,10,"index month: 6",7,0,0,0
7003,11,"age group:  35 -  39",3,0,0,0
7007,12,"index month: 7",7,0,0,0
8003,13,"age group:  40 -  44",3,0,0,0
9003,14,"age group:  45 -  49",3,0,0,0
9007,15,"index month: 9",7,0,0,0
10003,16,"age group:  50 -  54",3,0,0,0
10007,17,"index month: 10",7,0,0,0
11003,18,"age group:  55 -  59",3,0,0,0
11007,19,"index month: 11",7,0,0,0
12003,20,"age group:  60 -  64",3,0,0,0
12007,21,"index month: 12",7,0,0,0
14003,22,"age group:  70 -  74",3,0,0,0
15003,23,"age group:  75 -  79",3,0,0,0
16003,24,"age group:  80 -  84",3,0,0,0
17003,25,"age group:  85 -  89",3,0,0,0
18003,26,"age group:  90 -  94",3,0,0,0
19003,27,"age group:  95 -  99",3,0,0,0
8532001,28,"gender = FEMALE",1,8532,0.000496790043712223,1
8552004,29,"race = Unknown",4,8552,0,0
22340210,30,"condition_era group during day -365 through 0 days relative to index: Esophageal varices without bleeding",210,22340,0,0
23245210,31,"condition_era group during day -365 through 0 days relative to index: Esophageal bleeding",210,23245,0,0
23245212,32,"condition_era group during day -30 through 0 days relative to index: Esophageal bleeding",212,23245,0,0
23325210,33,"condition_era group during day -365 through 0 days relative to index: Heartburn",210,23325,0,0
23731210,34,"condition_era group during day -365 through 0 days relative to index: Benign neoplasm of larynx",210,23731,0,0
23731212,35,"condition_era group during day -30 through 0 days relative to index: Benign neoplasm of larynx",212,23731,0,0
23798210,36,"condition_era group during day -365 through 0 days relative to index: Acute laryngopharyngitis",210,23798,0,0
24134210,37,"condition_era group during day -365 through 0 days relative to index: Neck pain",210,24134,0,0
24134212,38,"condition_era group during day -30 through 0 days relative to index: Neck pain",212,24134,0,0
24609210,39,"condition_era group during day -365 through 0 days relative to index: Hypoglycemia",210,24609,0,0
24609212,40,"condition_era group during day -30 through 0 days relative to index: Hypoglycemia",212,24609,0,0
24660210,41,"condition_era group during day -365 through 0 days relative to index: Acute tonsillitis",210,24660,0,0
24660212,42,"condition_era group during day -30 through 0 days relative to index: Acute tonsillitis",212,24660,0,0
24966210,43,"condition_era group during day -365 through 0 days relative to index: Esophageal varices",210,24966,0,0
24966212,44,"condition_era group during day -30 through 0 days relative to index: Esophageal varices",212,24966,0,0
24969210,45,"condition_era group during day -365 through 0 days relative to index: Laryngitis",210,24969,0,0
24969212,46,"condition_era group during day -30 through 0 days relative to index: Laryngitis",212,24969,0,0
24970210,47,"condition_era group during day -365 through 0 days relative to index: Chronic laryngitis",210,24970,0,0
