targetName,outcomeName,targetId,outcomeId,restrictPlpDataSettings,covariateSettings,populationSettings,sampleSettings,featureEngineeringSettings,preprocessSettings,modelSettings,executeSettings,analysisId,dataLocation
MOAnormal_RFT_acetaminophen,MOAAbnormal_RFT,1779580,1779558,1,1,1,1,1,1,1,1,Analysis_1,T_1779580_L_1
MOAnormal_RFT_acetaminophen,MOAAbnormal_RFT,1779580,1779558,1,1,1,2,1,1,2,1,Analysis_2,T_1779580_L_1
MOAnormal_RFT_meloxicam,MOAAbnormal_RFT,1779581,1779558,1,1,1,3,1,1,1,1,Analysis_3,T_1779581_L_1
MOAnormal_RFT_meloxicam,MOAAbnormal_RFT,1779581,1779558,1,1,1,4,1,1,2,1,Analysis_4,T_1779581_L_1
MOAnormal_RFT_celecoxib,MOAAbnormal_RFT,1779582,1779558,1,1,1,5,1,1,1,1,Analysis_5,T_1779582_L_1
MOAnormal_RFT_celecoxib,MOAAbnormal_RFT,1779582,1779558,1,1,1,6,1,1,2,1,Analysis_6,T_1779582_L_1
MOAnormal_RFT_valproate,MOAAbnormal_RFT,1779583,1779558,1,1,1,7,1,1,1,1,Analysis_7,T_1779583_L_1
MOAnormal_RFT_valproate,MOAAbnormal_RFT,1779583,1779558,1,1,1,8,1,1,2,1,Analysis_8,T_1779583_L_1
MOAnormal_RFT_lamotrigine,MOAAbnormal_RFT,1779584,1779558,1,1,1,9,1,1,1,1,Analysis_9,T_1779584_L_1
MOAnormal_RFT_lamotrigine,MOAAbnormal_RFT,1779584,1779558,1,1,1,10,1,1,2,1,Analysis_10,T_1779584_L_1
MOAnormal_RFT_amphotericinB,MOAAbnormal_RFT,1779585,1779558,1,1,1,11,1,1,1,1,Analysis_11,T_1779585_L_1
MOAnormal_RFT_amphotericinB,MOAAbnormal_RFT,1779585,1779558,1,1,1,12,1,1,2,1,Analysis_12,T_1779585_L_1
MOAnormal_RFT_vancomycin,MOAAbnormal_RFT,1779586,1779558,1,1,1,13,1,1,1,1,Analysis_13,T_1779586_L_1
MOAnormal_RFT_vancomycin,MOAAbnormal_RFT,1779586,1779558,1,1,1,14,1,1,2,1,Analysis_14,T_1779586_L_1
MOAnormal_RFT_cisplatin,MOAAbnormal_RFT,1779587,1779558,1,1,1,15,1,1,1,1,Analysis_15,T_1779587_L_1
MOAnormal_RFT_cisplatin,MOAAbnormal_RFT,1779587,1779558,1,1,1,16,1,1,2,1,Analysis_16,T_1779587_L_1
MOAnormal_RFT_acyclovir,MOAAbnormal_RFT,1779588,1779558,1,1,1,17,1,1,1,1,Analysis_17,T_1779588_L_1
MOAnormal_RFT_acyclovir,MOAAbnormal_RFT,1779588,1779558,1,1,1,18,1,1,2,1,Analysis_18,T_1779588_L_1
MOAnormal_RFT_foscarnet,MOAAbnormal_RFT,1779589,1779558,1,1,1,19,1,1,1,1,Analysis_19,T_1779589_L_1
MOAnormal_RFT_foscarnet,MOAAbnormal_RFT,1779589,1779558,1,1,1,20,1,1,2,1,Analysis_20,T_1779589_L_1
MOAnormal_RFT_lithium,MOAAbnormal_RFT,1779590,1779558,1,1,1,21,1,1,1,1,Analysis_21,T_1779590_L_1
MOAnormal_RFT_lithium,MOAAbnormal_RFT,1779590,1779558,1,1,1,22,1,1,2,1,Analysis_22,T_1779590_L_1
MOAnormal_RFT_ibuprofen,MOAAbnormal_RFT,1779591,1779558,1,1,1,23,1,1,1,1,Analysis_23,T_1779591_L_1
MOAnormal_RFT_ibuprofen,MOAAbnormal_RFT,1779591,1779558,1,1,1,24,1,1,2,1,Analysis_24,T_1779591_L_1
MOAnormal_RFT_diclofenac,MOAAbnormal_RFT,1779592,1779558,1,1,1,25,1,1,1,1,Analysis_25,T_1779592_L_1
MOAnormal_RFT_diclofenac,MOAAbnormal_RFT,1779592,1779558,1,1,1,26,1,1,2,1,Analysis_26,T_1779592_L_1
MOAnormal_RFT_naproxen,MOAAbnormal_RFT,1779593,1779558,1,1,1,27,1,1,1,1,Analysis_27,T_1779593_L_1
MOAnormal_RFT_naproxen,MOAAbnormal_RFT,1779593,1779558,1,1,1,28,1,1,2,1,Analysis_28,T_1779593_L_1
MOAnormal_RFT_ketoprofen,MOAAbnormal_RFT,1779594,1779558,1,1,1,29,1,1,1,1,Analysis_29,T_1779594_L_1
MOAnormal_RFT_ketoprofen,MOAAbnormal_RFT,1779594,1779558,1,1,1,30,1,1,2,1,Analysis_30,T_1779594_L_1
MOAnormal_RFT_piroxicam,MOAAbnormal_RFT,1779595,1779558,1,1,1,31,1,1,1,1,Analysis_31,T_1779595_L_1
MOAnormal_RFT_piroxicam,MOAAbnormal_RFT,1779595,1779558,1,1,1,32,1,1,2,1,Analysis_32,T_1779595_L_1
