"covariateId","covariateName","analysisId","conceptId","covariateValue"
21601119413,"drug_era group during day 0 through 0 days relative to index: VITAMIN B12 AND FOLIC ACID",413,21601119,1.03675944051183
30344261710,"measurement below normal range during day -365 through 0 days relative to index: Prothrombin time (PT)",710,3034426,0.77261320740535
11007,"index month: 11",7,0,0.634532415504537
21604180413,"drug_era group during day 0 through 0 days relative to index: NERVOUS SYSTEM",413,21604180,-0.592434224173271
30145763710,"measurement above normal range during day -365 through 0 days relative to index: Chloride [Moles/volume] in Serum or Plasma",710,3014576,-0.571382285077405
3009201704,"measurement during day -30 through 0 days relative to index: Thyrotropin [Units/volume] in Serum or Plasma",704,3009201,0.556432486516474
21601043410,"drug_era group during day -365 through 0 days relative to index: VITAMIN K AND OTHER HEMOSTATICS",410,21601043,0.455394891107691
30145763712,"measurement above normal range during day -30 through 0 days relative to index: Chloride [Moles/volume] in Serum or Plasma",712,3014576,-0.408254372822393
4327032502,"procedure_occurrence during day -365 through 0 days relative to index: CT of thorax with contrast",502,4327032,0.381196729845484
30222172710,"measurement within normal range during day -365 through 0 days relative to index: INR in Platelet poor plasma by Coagulation assay",710,3022217,0.343727511445799
37117305502,"procedure_occurrence during day -365 through 0 days relative to index: CT of abdomen and pelvis without contrast",502,37117305,0.310204635521043
316866212,"condition_era group during day -30 through 0 days relative to index: Hypertensive disorder",212,316866,-0.308580959800937
30431113710,"measurement above normal range during day -365 through 0 days relative to index: Platelet mean volume [Entitic volume] in Blood by Automated count",710,3043111,0.304113477956119
21600959413,"drug_era group during day 0 through 0 days relative to index: BLOOD AND BLOOD FORMING ORGANS",413,21600959,0.299493379454668
30065761712,"measurement below normal range during day -30 through 0 days relative to index: Bicarbonate [Moles/volume] in Blood",712,3006576,0.291776598722815
30009631710,"measurement below normal range during day -365 through 0 days relative to index: Hemoglobin [Mass/volume] in Blood",710,3000963,0.277349017555009
21600080410,"drug_era group during day -365 through 0 days relative to index: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)",410,21600080,-0.273028084649773
3037121704,"measurement during day -30 through 0 days relative to index: Protein [Mass/volume] in Urine",704,3037121,0.260783523240502
316866210,"condition_era group during day -365 through 0 days relative to index: Hypertensive disorder",210,316866,-0.259611653020013
3018677702,"measurement during day -365 through 0 days relative to index: aPTT in Platelet poor plasma by Coagulation assay",702,3018677,0.246284554523375
19044727410,"drug_era group during day -365 through 0 days relative to index: vitamin K1",410,19044727,0.240636692430063
3023419702,"measurement during day -365 through 0 days relative to index: Bacteria identified in Sputum by Culture",702,3023419,0.226839116339186
21602196412,"drug_era group during day -30 through 0 days relative to index: ANTISEPTICS AND DISINFECTANTS",412,21602196,0.209218906585032
30095422712,"measurement within normal range during day -30 through 0 days relative to index: Hematocrit [Volume Fraction] of Blood",712,3009542,-0.205756777010412
43534771410,"drug_era group during day -365 through 0 days relative to index: ACE inhibitors, other combinations",410,43534771,-0.203960076132979
21601718412,"drug_era group during day -30 through 0 days relative to index: BETA BLOCKING AGENTS AND OTHER DIURETICS",412,21601718,0.192292692738899
30092011710,"measurement below normal range during day -365 through 0 days relative to index: Thyrotropin [Units/volume] in Serum or Plasma",710,3009201,0.188624620630582
21604343410,"drug_era group during day -365 through 0 days relative to index: Anilides",410,21604343,0.176966335970638
4126305212,"condition_era group during day -30 through 0 days relative to index: Acute renal impairment",212,4126305,0.175414162096467
