"covariateId","covariateName","analysisId","conceptId","covariateValue"
4141416804,"observation during day -30 through 0 days relative to index: Weight monitoring",804,4141416,0.980492298166055
906780413,"drug_era group during day 0 through 0 days relative to index: metoclopramide",413,906780,0.844725415848696
1560524413,"drug_era group during day 0 through 0 days relative to index: glucose",413,1560524,0.796335012272899
4054501210,"condition_era group during day -365 through 0 days relative to index: Neoplasm of trunk",210,4054501,0.754657137728408
30336582712,"measurement within normal range during day -30 through 0 days relative to index: Prothrombin time (PT) actual/Normal",712,3033658,0.746638395622543
4113547210,"condition_era group during day -365 through 0 days relative to index: Lesion of stomach",210,4113547,-0.59547319529148
21602179413,"drug_era group during day 0 through 0 days relative to index: Corticosteroids, weak, other combinations",413,21602179,0.483887240705624
30269103710,"measurement above normal range during day -365 through 0 days relative to index: Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma",710,3026910,-0.470352667291274
30344262712,"measurement within normal range during day -30 through 0 days relative to index: Prothrombin time (PT)",712,3034426,0.432373325297859
21601605412,"drug_era group during day -30 through 0 days relative to index: VASOPROTECTIVES",412,21601605,0.421306909981535
30191982710,"measurement within normal range during day -365 through 0 days relative to index: Lymphocytes [#/volume] in Blood",710,3019198,0.401645775048595
744740410,"drug_era group during day -365 through 0 days relative to index: zolpidem",410,744740,0.38582609792844
4101227212,"condition_era group during day -30 through 0 days relative to index: Liver mass",212,4101227,0.37777501469661
4277921210,"condition_era group during day -365 through 0 days relative to index: Liver regeneration",210,4277921,-0.346923666861815
4215476504,"procedure_occurrence during day -30 through 0 days relative to index: Administration of anticoagulant",504,4215476,0.34036919211069
3032567702,"measurement during day -365 through 0 days relative to index: Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection",702,3032567,0.336633359107494
30173543712,"measurement above normal range during day -30 through 0 days relative to index: Segmented neutrophils/100 leukocytes in Blood",712,3017354,0.315189540741927
30151832712,"measurement within normal range during day -30 through 0 days relative to index: Erythrocyte sedimentation rate",712,3015183,-0.308305648123876
1338512412,"drug_era group during day -30 through 0 days relative to index: doxorubicin",412,1338512,0.294278445201825
1154029410,"drug_era group during day -365 through 0 days relative to index: fentanyl",410,1154029,-0.260586052086531
12003,"age group:  60 -  64",3,0,0.240920419765692
316866212,"condition_era group during day -30 through 0 days relative to index: Hypertensive disorder",212,316866,-0.235128938889331
19066992410,"drug_era group during day -365 through 0 days relative to index: silymarin",410,19066992,-0.231934676735952
30249291712,"measurement below normal range during day -30 through 0 days relative to index: Platelets [#/volume] in Blood by Automated count",712,3024929,0.231471296371698
3023368702,"measurement during day -365 through 0 days relative to index: Bacteria identified in Blood by Culture",702,3023368,0.228245957453395
21604653410,"drug_era group during day -365 through 0 days relative to index: Benzodiazepine related drugs",410,21604653,0.217043549461204
30271141712,"measurement below normal range during day -30 through 0 days relative to index: Cholesterol [Mass/volume] in Serum or Plasma",712,3027114,0.213871680052049
21601899410,"drug_era group during day -365 through 0 days relative to index: HMG CoA reductase inhibitors in combination with other lipid modifying agents",410,21601899,0.186944497881201
21603728412,"drug_era group during day -30 through 0 days relative to index: CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES",412,21603728,0.180393591145555
1102527413,"drug_era group during day 0 through 0 days relative to index: meperidine",413,1102527,0.163034426472979
444208210,"condition_era group during day -365 through 0 days relative to index: Chronic inflammatory disorder",210,444208,0.14722372599532
21601907412,"drug_era group during day -30 through 0 days relative to index: DERMATOLOGICALS",412,21601907,0.133140318170647
30027361710,"measurement below normal range during day -365 through 0 days relative to index: Platelet distribution width [Entitic volume] in Blood by Automated count",710,3002736,-0.114548344603609
4130518212,"condition_era group during day -30 through 0 days relative to index: Neoplasm of liver",212,4130518,0.112112822408137
21601154413,"drug_era group during day 0 through 0 days relative to index: Solutions for parenteral nutrition",413,21601154,0.097427759362737
30195502712,"measurement within normal range during day -30 through 0 days relative to index: Sodium [Moles/volume] in Serum or Plasma",712,3019550,0.0923804263056359
4064161210,"condition_era group during day -365 through 0 days relative to index: Cirrhosis of liver",210,4064161,-0.0769399259505633
30151832710,"measurement within normal range during day -365 through 0 days relative to index: Erythrocyte sedimentation rate",710,3015183,-0.0683345817673592
21601185413,"drug_era group during day 0 through 0 days relative to index: Other irrigating solutions",413,21601185,0.0647191611148168
21600521410,"drug_era group during day -365 through 0 days relative to index: LIVER THERAPY, LIPOTROPICS",410,21600521,-0.0601810519864121
21601153413,"drug_era group during day 0 through 0 days relative to index: I.V. SOLUTIONS",413,21601153,0.0323763921330859
21600482413,"drug_era group during day 0 through 0 days relative to index: PROPULSIVES",413,21600482,0.030090695529772
4246127212,"condition_era group during day -30 through 0 days relative to index: Malignant neoplasm of liver",212,4246127,0.0248501599880806
21601387413,"drug_era group during day 0 through 0 days relative to index: ANTINEOPLASTIC AGENTS",413,21601387,0.0203866884834476
21601642413,"drug_era group during day 0 through 0 days relative to index: Sclerosing agents for local injection",413,21601642,0.0122877341615393
30145762712,"measurement within normal range during day -30 through 0 days relative to index: Chloride [Moles/volume] in Serum or Plasma",712,3014576,0.0122290966701265
21601634413,"drug_era group during day 0 through 0 days relative to index: ANTIVARICOSE THERAPY",413,21601634,0.0103394908200451
21600522410,"drug_era group during day -365 through 0 days relative to index: Liver therapy",410,21600522,-0.00811916191172541
37310458210,"condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of viscera",210,37310458,0.00153585773363488
4246127210,"condition_era group during day -365 through 0 days relative to index: Malignant neoplasm of liver",210,4246127,0.000689575635153315
21600483413,"drug_era group during day 0 through 0 days relative to index: Propulsives",413,21600483,8.23125561424407e-05
4269208502,"procedure_occurrence during day -365 through 0 days relative to index: Monitoring of cardiac output/cardiac index",502,4269208,0
4295779502,"procedure_occurrence during day -365 through 0 days relative to index: Cataract extraction and insertion of intraocular lens",502,4295779,0
4297365502,"procedure_occurrence during day -365 through 0 days relative to index: Partial hip replacement by prosthesis",502,4297365,0
43531084502,"procedure_occurrence during day -365 through 0 days relative to index: Open reduction of fracture of clavicle with internal fixation",502,43531084,0
4180279502,"procedure_occurrence during day -365 through 0 days relative to index: Insertion of tympanic ventilation tube in tympanic membrane",502,4180279,0
37017572502,"procedure_occurrence during day -365 through 0 days relative to index: Single-port laparoscopic cholecystectomy",502,37017572,0
4034462502,"procedure_occurrence during day -365 through 0 days relative to index: Biopsy of vertebra",502,4034462,0
4086425502,"procedure_occurrence during day -365 through 0 days relative to index: Patient controlled analgesia",502,4086425,0
4223677502,"procedure_occurrence during day -365 through 0 days relative to index: Neurolysis",502,4223677,0
4225119502,"procedure_occurrence during day -365 through 0 days relative to index: Neurological examination",502,4225119,0
4253223502,"procedure_occurrence during day -365 through 0 days relative to index: Delayed suture of wound",502,4253223,0
4166080502,"procedure_occurrence during day -365 through 0 days relative to index: Decompression of median nerve",502,4166080,0
4033232502,"procedure_occurrence during day -365 through 0 days relative to index: Aspiration",502,4033232,0
4054935502,"procedure_occurrence during day -365 through 0 days relative to index: Anesthetic procedure education",502,4054935,0
4202369502,"procedure_occurrence during day -365 through 0 days relative to index: Bronchoscopy with removal of foreign body",502,4202369,0
4171187502,"procedure_occurrence during day -365 through 0 days relative to index: Bypass gastrojejunostomy",502,4171187,0
4085220502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopy of shoulder",502,4085220,0
4327322502,"procedure_occurrence during day -365 through 0 days relative to index: Biopsy of soft tissue",502,4327322,0
4012936502,"procedure_occurrence during day -365 through 0 days relative to index: Femoral-popliteal artery bypass graft",502,4012936,0
4332451502,"procedure_occurrence during day -365 through 0 days relative to index: Local anesthetic median nerve block",502,4332451,0
4196525502,"procedure_occurrence during day -365 through 0 days relative to index: Local anesthesia, by infiltration",502,4196525,0
4240697502,"procedure_occurrence during day -365 through 0 days relative to index: Implantation of artificial bladder sphincter",502,4240697,0
4312613502,"procedure_occurrence during day -365 through 0 days relative to index: Lobectomy of liver",502,4312613,0
4067135502,"procedure_occurrence during day -365 through 0 days relative to index: Meatoplasty of external ear",502,4067135,0
4068676502,"procedure_occurrence during day -365 through 0 days relative to index: Microlaryngoscopy",502,4068676,0
4076596502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopic partial lateral meniscectomy",502,4076596,0
4076188502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopic synovectomy knee joint",502,4076188,0
4071443502,"procedure_occurrence during day -365 through 0 days relative to index: Biopsy of lymph node",502,4071443,0
4081731502,"procedure_occurrence during day -365 through 0 days relative to index: Biopsy of skin",502,4081731,0
4314126502,"procedure_occurrence during day -365 through 0 days relative to index: Removal of posterior segmental instrumentation of spine",502,4314126,0
4234743502,"procedure_occurrence during day -365 through 0 days relative to index: Implantation of cochlear prosthetic device",502,4234743,0
4081732502,"procedure_occurrence during day -365 through 0 days relative to index: Incisional biopsy of skin lesion",502,4081732,0
4142634502,"procedure_occurrence during day -365 through 0 days relative to index: Removal of internal fixation device from clavicle",502,4142634,0
4174770502,"procedure_occurrence during day -365 through 0 days relative to index: Refilling of implanted drug reservoir",502,4174770,0
4174132502,"procedure_occurrence during day -365 through 0 days relative to index: Fusion of posterior lumbar spine",502,4174132,0
4020929502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of synovial cyst",502,4020929,0
4124565502,"procedure_occurrence during day -365 through 0 days relative to index: Radionuclide study of genitourinary function",502,4124565,0
4127943502,"procedure_occurrence during day -365 through 0 days relative to index: Hemilaminectomy",502,4127943,0
4268598502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of bone of ulna",502,4268598,0
4232190502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of retroperitoneum",502,4232190,0
4018279502,"procedure_occurrence during day -365 through 0 days relative to index: Right hemicolectomy and side-to-side anastomosis of ileum to transverse colon",502,4018279,0
4323586502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of soft tissue of hand",502,4323586,0
4222633502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of elbow joint",502,4222633,0
4001873502,"procedure_occurrence during day -365 through 0 days relative to index: Excision from thigh",502,4001873,0
4125467502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of axillary lymph nodes group",502,4125467,0
4100211502,"procedure_occurrence during day -365 through 0 days relative to index: Restoration, resin",502,4100211,0
42538236502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of left lobe of thyroid gland",502,42538236,0
31317502,"procedure_occurrence during day -365 through 0 days relative to index: Dysphagia",502,31317,0
4063241502,"procedure_occurrence during day -365 through 0 days relative to index: Treatment of obesity started",502,4063241,0
4024619502,"procedure_occurrence during day -365 through 0 days relative to index: Pressure ulcer care",502,4024619,0
4205682502,"procedure_occurrence during day -365 through 0 days relative to index: Payment for service status",502,4205682,0
4138874502,"procedure_occurrence during day -365 through 0 days relative to index: Other total prosthetic replacement of knee joint",502,4138874,0
4042424502,"procedure_occurrence during day -365 through 0 days relative to index: Splint",502,4042424,0
4265634502,"procedure_occurrence during day -365 through 0 days relative to index: Antiembolic device",502,4265634,0
4244127502,"procedure_occurrence during day -365 through 0 days relative to index: Ice bag",502,4244127,0
4105748502,"procedure_occurrence during day -365 through 0 days relative to index: Incision of tibia",502,4105748,0
4343904502,"procedure_occurrence during day -365 through 0 days relative to index: Repair of meniscus",502,4343904,0
4212477502,"procedure_occurrence during day -365 through 0 days relative to index: Resection of lesion of bladder",502,4212477,0
40493287502,"procedure_occurrence during day -365 through 0 days relative to index: Insertion of implantable intrathecal access system",502,40493287,0
44806769502,"procedure_occurrence during day -365 through 0 days relative to index: Rigid ureteroscopy",502,44806769,0
4008453502,"procedure_occurrence during day -365 through 0 days relative to index: SNOMED CT Concept",502,4008453,0
4074876502,"procedure_occurrence during day -365 through 0 days relative to index: Left salpingo-oophorectomy",502,4074876,0
4215476502,"procedure_occurrence during day -365 through 0 days relative to index: Administration of anticoagulant",502,4215476,0
4033396502,"procedure_occurrence during day -365 through 0 days relative to index: Laparoscopic repair of inguinal hernia",502,4033396,0
4088717502,"procedure_occurrence during day -365 through 0 days relative to index: Closed reduction of dislocation of wrist",502,4088717,0
4327941502,"procedure_occurrence during day -365 through 0 days relative to index: Psychotherapy",502,4327941,0
4163971502,"procedure_occurrence during day -365 through 0 days relative to index: Laparoscopic cholecystectomy",502,4163971,0
4168926502,"procedure_occurrence during day -365 through 0 days relative to index: Revision of anastomosis of large intestine",502,4168926,0
4075290502,"procedure_occurrence during day -365 through 0 days relative to index: Biopsy of muscle",502,4075290,0
4067358502,"procedure_occurrence during day -365 through 0 days relative to index: Intranasal ethmoidectomy",502,4067358,0
4088889502,"procedure_occurrence during day -365 through 0 days relative to index: Individual psychotherapy",502,4088889,0
46273688502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of scalp mass",502,46273688,0
46273693502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of oral cavity",502,46273693,0
46272913502,"procedure_occurrence during day -365 through 0 days relative to index: Robotic assisted surgery",502,46272913,0
4133512502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopic capsular release of shoulder joint",502,4133512,0
4159841502,"procedure_occurrence during day -365 through 0 days relative to index: Closed reduction of fracture of femur with internal fixation",502,4159841,0
4022011502,"procedure_occurrence during day -365 through 0 days relative to index: Thoracoscopic biopsy of pleura",502,4022011,0
4021160502,"procedure_occurrence during day -365 through 0 days relative to index: Smoking cessation education",502,4021160,0
4168085502,"procedure_occurrence during day -365 through 0 days relative to index: Nasal packing for control of hemorrhage",502,4168085,0
4240345502,"procedure_occurrence during day -365 through 0 days relative to index: Physical examination",502,4240345,0
4283540502,"procedure_occurrence during day -365 through 0 days relative to index: Tenorrhaphy",502,4283540,0
4224644502,"procedure_occurrence during day -365 through 0 days relative to index: Partial ostectomy",502,4224644,0
4203771502,"procedure_occurrence during day -365 through 0 days relative to index: Total replacement of hip",502,4203771,0
4347774502,"procedure_occurrence during day -365 through 0 days relative to index: Epidurogram",502,4347774,0
44783078502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopic repair of rotator cuff",502,44783078,0
4044710502,"procedure_occurrence during day -365 through 0 days relative to index: Dressing",502,4044710,0
4165590502,"procedure_occurrence during day -365 through 0 days relative to index: Symptom checklist",502,4165590,0
4195895502,"procedure_occurrence during day -365 through 0 days relative to index: Ultrasonography of uterus",502,4195895,0
4210480502,"procedure_occurrence during day -365 through 0 days relative to index: Nerve block",502,4210480,0
4243028502,"procedure_occurrence during day -365 through 0 days relative to index: Blepharotomy with drainage of abscess of eyelid",502,4243028,0
4279443502,"procedure_occurrence during day -365 through 0 days relative to index: Thoracoscopic biopsy of lung",502,4279443,0
4238681502,"procedure_occurrence during day -365 through 0 days relative to index: Bathing patient in bed",502,4238681,0
4230528502,"procedure_occurrence during day -365 through 0 days relative to index: Arthrolysis",502,4230528,0
4279466502,"procedure_occurrence during day -365 through 0 days relative to index: Arthroscopy of ankle",502,4279466,0
42872810502,"procedure_occurrence during day -365 through 0 days relative to index: Osteotomy and internal fixation",502,42872810,0
4246881502,"procedure_occurrence during day -365 through 0 days relative to index: Transposition of ovary",502,4246881,0
4219029502,"procedure_occurrence during day -365 through 0 days relative to index: Closed reduction of fracture of humerus",502,4219029,0
4073385502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of chest wall",502,4073385,0
4022792502,"procedure_occurrence during day -365 through 0 days relative to index: Removal of central venous line",502,4022792,0
4167080502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lipoma",502,4167080,0
4195307502,"procedure_occurrence during day -365 through 0 days relative to index: Repair of inguinal hernia",502,4195307,0
4285420502,"procedure_occurrence during day -365 through 0 days relative to index: Excision of lesion of bone",502,4285420,0
4071011502,"procedure_occurrence during day -365 through 0 days relative to index: Scaling of tooth",502,4071011,0
4021805502,"procedure_occurrence during day -365 through 0 days relative to index: Instilling eye drops",502,4021805,0
4074405502,"procedure_occurrence during day -365 through 0 days relative to index: Spinal instrumentation with pedicular fixation system",502,4074405,0
4230911502,"procedure_occurrence during day -365 through 0 days relative to index: Echocardiography",502,4230911,0
4080499502,"procedure_occurrence during day -365 through 0 days relative to index: Dressing of wound",502,4080499,0
4141919502,"procedure_occurrence during day -365 through 0 days relative to index: Insertion of pleural tube drain",502,4141919,0
4263111502,"procedure_occurrence during day -365 through 0 days relative to index: Shampoo of hair in bed",502,4263111,0
