"covariateId","columnId","covariateName","analysisId","conceptId","covariateValue","included"
1007,1,"index month: 1",7,0,0,0
2003,2,"age group:  10 -  14",3,0,0,0
2007,3,"index month: 2",7,0,0,0
3003,4,"age group:  15 -  19",3,0,0,0
4003,5,"age group:  20 -  24",3,0,0,0
4007,6,"index month: 4",7,0,0,0
5003,7,"age group:  25 -  29",3,0,0,0
5007,8,"index month: 5",7,0,0,0
6003,9,"age group:  30 -  34",3,0,0,0
6007,10,"index month: 6",7,0,0,0
7003,11,"age group:  35 -  39",3,0,0,0
7007,12,"index month: 7",7,0,0,0
8003,13,"age group:  40 -  44",3,0,0,0
8007,14,"index month: 8",7,0,0,0
9003,15,"age group:  45 -  49",3,0,0,0
9007,16,"index month: 9",7,0,0,0
10003,17,"age group:  50 -  54",3,0,0.00188921629702366,1
10007,18,"index month: 10",7,0,0.000397694811509111,1
11003,19,"age group:  55 -  59",3,0,0,0
11007,20,"index month: 11",7,0,0,0
12003,21,"age group:  60 -  64",3,0,0,0
12007,22,"index month: 12",7,0,0,0
13003,23,"age group:  65 -  69",3,0,0,0
15003,24,"age group:  75 -  79",3,0,0,0
16003,25,"age group:  80 -  84",3,0,0,0
17003,26,"age group:  85 -  89",3,0,0,0
18003,27,"age group:  90 -  94",3,0,0,0
19003,28,"age group:  95 -  99",3,0,0,0
8507001,29,"gender = MALE",1,8507,0,0
8552004,30,"race = Unknown",4,8552,0,0
23220210,31,"condition_era group during day -365 through 0 days relative to index: Chronic tonsillitis",210,23220,0,0
23325210,32,"condition_era group during day -365 through 0 days relative to index: Heartburn",210,23325,0,0
23325212,33,"condition_era group during day -30 through 0 days relative to index: Heartburn",212,23325,0,0
23798210,34,"condition_era group during day -365 through 0 days relative to index: Acute laryngopharyngitis",210,23798,0,0
23798212,35,"condition_era group during day -30 through 0 days relative to index: Acute laryngopharyngitis",212,23798,0,0
24134210,36,"condition_era group during day -365 through 0 days relative to index: Neck pain",210,24134,0,0
24134212,37,"condition_era group during day -30 through 0 days relative to index: Neck pain",212,24134,0,0
24609210,38,"condition_era group during day -365 through 0 days relative to index: Hypoglycemia",210,24609,0,0
24609212,39,"condition_era group during day -30 through 0 days relative to index: Hypoglycemia",212,24609,0,0
24660210,40,"condition_era group during day -365 through 0 days relative to index: Acute tonsillitis",210,24660,0,0
24660212,41,"condition_era group during day -30 through 0 days relative to index: Acute tonsillitis",212,24660,0,0
24966210,42,"condition_era group during day -365 through 0 days relative to index: Esophageal varices",210,24966,0,0
24966212,43,"condition_era group during day -30 through 0 days relative to index: Esophageal varices",212,24966,0,0
24969210,44,"condition_era group during day -365 through 0 days relative to index: Laryngitis",210,24969,0,0
24969212,45,"condition_era group during day -30 through 0 days relative to index: Laryngitis",212,24969,0,0
24970210,46,"condition_era group during day -365 through 0 days relative to index: Chronic laryngitis",210,24970,0,0
25189210,47,"condition_era group during day -365 through 0 days relative to index: Malignant tumor of oral cavity",210,25189,0,0
25189212,48,"condition_era group during day -30 through 0 days relative to index: Malignant tumor of oral cavity",212,25189,0,0
25297210,49,"condition_era group during day -365 through 0 days relative to index: Acute pharyngitis",210,25297,0,0
25297212,50,"condition_era group during day -30 through 0 days relative to index: Acute pharyngitis",212,25297,0,0
26378210,51,"condition_era group during day -365 through 0 days relative to index: Hyperpituitarism",210,26378,0,0
26378212,52,"condition_era group during day -30 through 0 days relative to index: Hyperpituitarism",212,26378,0,0
26638210,53,"condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of esophagus",210,26638,0,0
26638212,54,"condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of esophagus",212,26638,0,0
26711210,55,"condition_era group during day -365 through 0 days relative to index: Chronic pharyngitis",210,26711,0,0
27587210,56,"condition_era group during day -365 through 0 days relative to index: Disturbance of salivary secretion",210,27587,0,0
27587212,57,"condition_era group during day -30 through 0 days relative to index: Disturbance of salivary secretion",212,27587,0,0
28083210,58,"condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of pharynx",210,28083,0,0
28974210,59,"condition_era group during day -365 through 0 days relative to index: Candidiasis of the esophagus",210,28974,0,0
28974212,60,"condition_era group during day -30 through 0 days relative to index: Candidiasis of the esophagus",212,28974,0,0
29735210,61,"condition_era group during day -365 through 0 days relative to index: Candidiasis of mouth",210,29735,0,0
29735212,62,"condition_era group during day -30 through 0 days relative to index: Candidiasis of mouth",212,29735,0,0
30133210,63,"condition_era group during day -365 through 0 days relative to index: Acute laryngitis",210,30133,0,0
30133212,64,"condition_era group during day -30 through 0 days relative to index: Acute laryngitis",212,30133,0,0
30234210,65,"condition_era group during day -365 through 0 days relative to index: Neck sprain",210,30234,0,0
30234212,66,"condition_era group during day -30 through 0 days relative to index: Neck sprain",212,30234,0,0
